City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
324,Fairbanks,US,64.8378,-147.7164,39.31,88,75,3.44,broken clouds
325,West Wendover,US,40.7391,-114.0733,65.41,22,0,6.91,clear sky
326,Watsa,CD,3.0372,29.5355,63.66,97,99,3.06,light rain
327,Kayerkan,RU,69.3497,87.7602,34.92,98,100,3.36,overcast clouds
328,Haskovo,BG,41.9403,25.5694,62.11,89,85,6.51,overcast clouds
329,Pitsunda,GE,43.1592,40.3378,66.38,71,25,0.85,scattered clouds
330,Tuatapere,NZ,-46.1333,167.6833,46.13,91,100,3.04,overcast clouds
331,Korla,CN,41.7597,86.1469,69.35,31,9,4.72,clear sky
332,Ostrovnoy,RU,68.0531,39.5131,38.84,84,97,5.97,overcast clouds
333,Vagay,RU,57.9375,69.0217,51.51,90,66,3.71,broken clouds
334,Scottsbluff,US,41.8666,-103.6672,66.78,34,0,3.0,clear sky
335,Makat,KZ,47.6469,53.3463,66.02,59,50,17.87,scattered clouds
336,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,65,75,16.11,broken clouds
337,Ayagoz,KZ,47.9714,80.4392,62.2,58,98,8.41,overcast clouds
338,Kahului,US,20.8947,-156.47,76.84,83,35,8.01,scattered clouds
339,Seoul,KR,37.5683,126.9778,53.04,31,100,3.06,overcast clouds
340,Pakxan,LA,18.3778,103.6601,78.17,87,100,3.18,overcast clouds
341,Lagoa,PT,39.05,-27.9833,61.38,83,100,25.99,light rain
342,Alepe,CI,5.5004,-3.6631,84.07,73,99,7.25,overcast clouds
